series_title;my_finish_date;my_score;my_status;my_watched_episodes;my_start_date;series_episodes;series_type;series_animedb_id
Hunter x Hunter Movie 1: Phantom Rouge;2020-05-25;7;Completed;1;2020-05-25;1;Movie;13271
Hunter x Hunter Movie 2: The Last Mission;2020-05-25;8;Completed;1;2020-05-25;1;Movie;19951
Inazuma Eleven;2019-07-10;8;Completed;127;2018-08-12;127;TV;5231
Infinite Dendrogram;2020-04-16;4;Completed;13;2020-01-10;13;TV;38909
Initial D Battle Stage;2020-02-17;7;Completed;1;2020-02-17;1;OVA;821
Initial D Battle Stage 2;2020-02-17;7;Completed;1;2020-02-17;1;OVA;3931
Initial D Extra Stage;2020-02-18;7;Completed;2;2020-02-18;2;OVA;822
Initial D Extra Stage 2;2020-02-18;7;Completed;1;2020-02-18;1;OVA;5228
Initial D Fifth Stage;2020-02-14;9;Completed;14;2020-02-11;14;TV;15059
Initial D Final Stage;2020-02-14;9;Completed;4;2020-02-14;4;TV;22507
Initial D First Stage;2020-01-31;9;Completed;26;2020-01-26;26;TV;185
Initial D Fourth Stage;2020-02-11;8;Completed;24;2020-02-04;24;TV;18
Initial D Second Stage;2020-02-02;8;Completed;13;2020-02-02;13;TV;186
Initial D Third Stage;2020-02-03;7;Completed;1;2020-02-03;1;Movie;187
Isekai Quartet;2019-08-01;8;Completed;12;2019-08-01;12;TV;38472
Isekai Quartet 2;2020-04-01;7;Completed;12;2020-01-15;12;TV;39988
Isekai Quartet Movie: Another World;2024-10-26;7;Completed;1;2024-10-26;1;Movie;41567
Ishuzoku Reviewers;2020-04-01;7;Completed;12;2020-01-11;12;TV;40010
Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.;2020-03-28;6;Completed;12;2020-01-09;12;TV;38790
Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu. 2;2024-10-14;6;Completed;12;2024-10-10;12;TV;41514
Jaku-Chara Tomozaki-kun;2021-04-17;7;Completed;12;2021-01-16;12;TV;40530
Jaku-Chara Tomozaki-kun 2nd Stage;0000-00-00;0;Plan to Watch;0;0000-00-00;13;TV;50803
Jidou Hanbaiki ni Umarekawatta Ore wa Meikyuu wo Samayou;2024-02-15;6;Completed;12;2023-07-09;12;TV;52619
Jigokuraku;0000-00-00;0;Plan to Watch;0;0000-00-00;13;TV;46569
